config,matrix,ab_Lp,ab_Lm,exchange,metabolite,donor,receiver,flux_donor,flux_receiver
Lp75_chickpea,chickpea,0.75,0.25,EX_2mbald_e,2mbald_e,Lm,Lp,13.94245453,-4.64748484
Lp75_chickpea,chickpea,0.75,0.25,EX_3mbald_e,3mbald_e,Lm,Lp,3.82917125,-1.27639042
Lp75_chickpea,chickpea,0.75,0.25,EX_ala__L_e,ala__L_e,Lm,Lp,0.0220596,-0.000835
Lp75_chickpea,chickpea,0.75,0.25,EX_glu__L_e,glu__L_e,Lm,Lp,0.01632341,-7.04844041
Lp75_chickpea,chickpea,0.75,0.25,EX_glyc_e,glyc_e,Lp,Lm,0.00095585,-0.00286756
Lp75_chickpea,chickpea,0.75,0.25,EX_h2o_e,h2o_e,Lp,Lm,4.04360859,-2.47347303
Lp75_fava_bean,fava_bean,0.75,0.25,EX_2mbald_e,2mbald_e,Lm,Lp,1.72188455,-0.57396152
Lp75_fava_bean,fava_bean,0.75,0.25,EX_3mbald_e,3mbald_e,Lm,Lp,3.97823652,-1.32607884
Lp75_fava_bean,fava_bean,0.75,0.25,EX_gal_e,gal_e,Lp,Lm,0.13329805,-0.39989415
Lp75_fava_bean,fava_bean,0.75,0.25,EX_glu__L_e,glu__L_e,Lm,Lp,0.0107044,-8.00501446
Lp75_fava_bean,fava_bean,0.75,0.25,EX_glyc_e,glyc_e,Lp,Lm,0.00062682,-0.00188046
Lp75_fava_bean,fava_bean,0.75,0.25,EX_h2o_e,h2o_e,Lp,Lm,3.63437756,-8.95053225
Eq50_chickpea,chickpea,0.5,0.5,EX_2mbald_e,2mbald_e,Lp,Lm,0.64258321,-0.64258321
Eq50_chickpea,chickpea,0.5,0.5,EX_2mpa_e,2mpa_e,Lm,Lp,2.4106388,-2.4106388
Eq50_chickpea,chickpea,0.5,0.5,EX_asp__L_e,asp__L_e,Lp,Lm,0.000651,-2.0
Eq50_chickpea,chickpea,0.5,0.5,EX_glu__L_e,glu__L_e,Lm,Lp,0.04048137,-10.57266061
Eq50_chickpea,chickpea,0.5,0.5,EX_gly_e,gly_e,Lm,Lp,1.84500185,-0.02628546
Eq50_chickpea,chickpea,0.5,0.5,EX_glyc_e,glyc_e,Lp,Lm,0.00079016,-0.00079016
Eq50_chickpea,chickpea,0.5,0.5,EX_h_e,h_e,Lm,Lp,1.76251568,-14.89308536
Eq50_chickpea,chickpea,0.5,0.5,EX_ile__L_e,ile__L_e,Lm,Lp,1.12189234,-0.67499328
