config,matrix,ab_Lp,ab_Lm,org,mu_solo,mu_consortium,delta,delta_pct
Lp75_chickpea,chickpea,0.75,0.25,Lp,0.5645270519955695,0.5310290469397911,-0.0335,-5.93
Lp75_chickpea,chickpea,0.75,0.25,Lm,0.10762544302606539,0.17700968231326358,0.06938,64.47
Lp75_fava_bean,fava_bean,0.75,0.25,Lp,0.34109669409084087,0.34823280283482894,0.00714,2.09
Lp75_fava_bean,fava_bean,0.75,0.25,Lm,0.09071736809084023,0.11607760094494302,0.02536,27.96
Eq50_chickpea,chickpea,0.5,0.5,Lp,0.5645270519955695,0.43897649610514816,-0.12555,-22.24
Eq50_chickpea,chickpea,0.5,0.5,Lm,0.10762544302606539,0.43897649610514816,0.33135,307.87
Eq50_fava_bean,fava_bean,0.5,0.5,Lp,0.34109669409084087,0.287515245223456,-0.05358,-15.71
Eq50_fava_bean,fava_bean,0.5,0.5,Lm,0.09071736809084023,0.287515245223456,0.1968,216.94
Lm75_chickpea,chickpea,0.25,0.75,Lp,0.5645270519955695,0.17417151457085894,-0.39036,-69.15
Lm75_chickpea,chickpea,0.25,0.75,Lm,0.10762544302606539,0.5225145437125771,0.41489,385.49
Lm75_fava_bean,fava_bean,0.25,0.75,Lp,0.34109669409084087,0.11393459486753726,-0.22716,-66.6
Lm75_fava_bean,fava_bean,0.25,0.75,Lm,0.09071736809084023,0.3418037846026119,0.25109,276.78
