matrix,ratio,perturbation,status,mu_Lp,mu_Lm,delta_Lp_pct,delta_Lm_pct,baseline_Lp,baseline_Lm
chickpea,Lp75,No_sucrose_maltose,optimal,0.3494,0.1165,-34.2,-34.2,0.531,0.177
chickpea,Lp75,LowAA,optimal,0.4918,0.1639,-7.38,-7.38,0.531,0.177
chickpea,Lp75,Anaerobic,optimal,0.4936,0.1645,-7.05,-7.05,0.531,0.177
chickpea,Eq50,No_sucrose_maltose,optimal,0.288,0.288,-34.39,-34.39,0.439,0.439
chickpea,Eq50,LowAA,optimal,0.4063,0.4063,-7.44,-7.44,0.439,0.439
chickpea,Eq50,Anaerobic,optimal,0.4078,0.4078,-7.11,-7.11,0.439,0.439
chickpea,Lm75,No_sucrose_maltose,optimal,0.114,0.3419,-34.57,-34.57,0.1742,0.5225
chickpea,Lm75,LowAA,optimal,0.1611,0.4834,-7.49,-7.49,0.1742,0.5225
chickpea,Lm75,Anaerobic,optimal,0.1653,0.4839,-5.11,-7.4,0.1742,0.5225
fava_bean,Lp75,No_sucrose_maltose,optimal,0.2747,0.0916,-21.11,-21.11,0.3482,0.1161
fava_bean,Lp75,LowAA,optimal,0.3328,0.1109,-4.44,-4.44,0.3482,0.1161
fava_bean,Lp75,Anaerobic,optimal,0.3268,0.1089,-6.17,-6.17,0.3482,0.1161
fava_bean,Eq50,No_sucrose_maltose,optimal,0.2266,0.2249,-21.19,-21.77,0.2875,0.2875
fava_bean,Eq50,LowAA,optimal,0.2745,0.2745,-4.54,-4.54,0.2875,0.2875
fava_bean,Eq50,Anaerobic,optimal,0.2696,0.2696,-6.22,-6.22,0.2875,0.2875
fava_bean,Lm75,No_sucrose_maltose,optimal,0.089,0.2671,-21.85,-21.85,0.1139,0.3418
fava_bean,Lm75,LowAA,optimal,0.1087,0.326,-4.63,-4.63,0.1139,0.3418
fava_bean,Lm75,Anaerobic,optimal,0.1068,0.3203,-6.3,-6.3,0.1139,0.3418
